,precision,recall,f1-score,support
akker,0.4583333333333333,0.6470588235294118,0.5365853658536585,17.0
amfitheater,0.6666666666666666,0.25,0.36363636363636365,8.0
aula,0.3333333333333333,0.4117647058823529,0.36842105263157887,17.0
auto,0.25,0.4117647058823529,0.3111111111111111,17.0
auto_ongeluk,0.5294117647058824,0.3103448275862069,0.391304347826087,29.0
bakkerij,0.3333333333333333,0.14285714285714285,0.2,7.0
basketbal_korfbal,0.6666666666666666,0.75,0.7058823529411765,8.0
begraafplaats,0.0,0.0,0.0,4.0
begrafenis,0.0,0.0,0.0,0.0
bibliotheek_boekwinkel,0.8,0.2,0.32000000000000006,20.0
biljart,0.0,0.0,0.0,1.0
binnen_zwembad,0.8125,0.7647058823529411,0.787878787878788,17.0
bloemen,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
bloementuin,0.6666666666666666,0.5,0.5714285714285715,4.0
boksen,0.0,0.0,0.0,4.0
borden_gevelsteen,0.5925925925925926,0.6153846153846154,0.6037735849056604,26.0
bos_park,0.3469387755102041,0.6538461538461539,0.45333333333333325,26.0
boten,0.6133333333333333,0.7666666666666667,0.6814814814814815,60.0
bouwplaats,0.505,0.6733333333333333,0.5771428571428572,150.0
brand,0.6896551724137931,0.6779661016949152,0.6837606837606838,59.0
brug,0.3333333333333333,0.55,0.4150943396226416,20.0
bruiloft,0.5,0.05555555555555555,0.09999999999999999,18.0
buiten_zwembad,0.4666666666666667,0.6363636363636364,0.5384615384615385,11.0
bus_truck,0.6,0.4166666666666667,0.49180327868852464,36.0
cafe,0.4827586206896552,0.3888888888888889,0.43076923076923074,36.0
catwalk,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
circus,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
cricket,0.875,0.9545454545454546,0.9130434782608695,22.0
dansende_mensen,0.19047619047619047,0.2857142857142857,0.22857142857142854,14.0
demonstratie,0.7142857142857143,0.375,0.4918032786885245,40.0
dieren_overig,0.5,0.18518518518518517,0.2702702702702703,27.0
duinen,0.47368421052631576,0.5,0.4864864864864865,18.0
eend,0.0,0.0,0.0,4.0
etalage,0.5,0.4117647058823529,0.45161290322580644,17.0
etende_mensen,0.5882352941176471,0.4,0.4761904761904762,25.0
fabriek,0.3181818181818182,0.42857142857142855,0.3652173913043478,49.0
fietsende_mensen,0.5,0.37037037037037035,0.425531914893617,27.0
garage_showroom,1.0,0.5714285714285714,0.7272727272727273,7.0
gebouw,0.6013513513513513,0.6402877697841727,0.6202090592334495,139.0
geestelijken,0.23076923076923078,0.15,0.18181818181818185,20.0
golf,0.0,0.0,0.0,3.0
groepsportret,0.4240506329113924,0.5403225806451613,0.47517730496453897,124.0
gymnastiek,0.625,0.20833333333333334,0.3125,24.0
handbal,0.5833333333333334,0.7,0.6363636363636365,10.0
hardlopen,0.0,0.0,0.0,9.0
haven,0.6,0.35294117647058826,0.4444444444444445,34.0
herdenking,0.5,0.38461538461538464,0.4347826086956522,13.0
historisch_toneelstuk,0.2,0.09090909090909091,0.12500000000000003,11.0
hockey,0.8333333333333334,0.35714285714285715,0.5,14.0
hond,1.0,0.28,0.43750000000000006,25.0
honkbal,0.6129032258064516,0.7169811320754716,0.6608695652173913,53.0
huisje,0.4666666666666667,0.4375,0.45161290322580644,16.0
kaartspel,0.0,0.0,0.0,1.0
kaartspel ,0.0,0.0,0.0,0.0
kade,0.375,0.21428571428571427,0.2727272727272727,14.0
kamperen,0.5,0.5,0.5,8.0
kantoor,0.34782608695652173,0.6956521739130435,0.46376811594202894,46.0
kapper,1.0,0.1111111111111111,0.19999999999999998,9.0
kerk_binnen,0.6666666666666666,0.38461538461538464,0.4878048780487804,26.0
kerk_buiten,0.5384615384615384,0.5833333333333334,0.5599999999999999,12.0
kermis,0.0,0.0,0.0,2.0
kerstmis,0.0,0.0,0.0,5.0
keuken,0.11764705882352941,0.2857142857142857,0.16666666666666666,7.0
klaslokaal,0.5,0.38461538461538464,0.4347826086956522,39.0
koe,0.0,0.0,0.0,5.0
konijn,1.0,0.3333333333333333,0.5,3.0
kostuum,0.0,0.0,0.0,0.0
kunstwerk,0.3333333333333333,0.6086956521739131,0.4307692307692308,46.0
luchtfoto,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
maquette,0.6666666666666666,0.2857142857142857,0.4,7.0
markt,0.5185185185185185,0.4117647058823529,0.45901639344262296,34.0
mensen_op_een_boot,0.3157894736842105,0.3157894736842105,0.3157894736842105,19.0
mensen_op_trap,0.25,0.5,0.3333333333333333,2.0
mensenmassa,0.417910447761194,0.49122807017543857,0.45161290322580644,57.0
militair,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
motorfiets,0.0,0.0,0.0,10.0
muziek_optreden,0.5,0.42452830188679247,0.45918367346938777,106.0
ongeluk_brancard,0.0,0.0,0.0,3.0
ontvangst_afscheid,0.5,0.05555555555555555,0.09999999999999999,18.0
opgraving,1.0,0.125,0.2222222222222222,8.0
optocht,0.6,0.3333333333333333,0.42857142857142855,18.0
paard,0.5925925925925926,0.6956521739130435,0.6399999999999999,23.0
