,precision,recall,f1-score,support
akker,0.7333333333333333,0.6470588235294118,0.6875,17.0
amfitheater,1.0,0.375,0.5454545454545454,8.0
aula,0.4444444444444444,0.47058823529411764,0.45714285714285713,17.0
auto,0.7777777777777778,0.4117647058823529,0.5384615384615384,17.0
auto_ongeluk,0.7083333333333334,0.5862068965517241,0.6415094339622641,29.0
bakkerij,0.2,0.14285714285714285,0.16666666666666666,7.0
basketbal_korfbal,0.5384615384615384,0.875,0.6666666666666667,8.0
begraafplaats,1.0,0.25,0.4,4.0
begrafenis,0.0,0.0,0.0,0.0
bibliotheek_boekwinkel,0.7272727272727273,0.4,0.5161290322580645,20.0
biljart,1.0,1.0,1.0,1.0
binnen_zwembad,0.8125,0.7647058823529411,0.787878787878788,17.0
bloemen,0.6666666666666666,0.2857142857142857,0.4,14.0
bloementuin,0.4,0.5,0.4444444444444445,4.0
boksen,1.0,0.75,0.8571428571428571,4.0
borden_gevelsteen,0.6451612903225806,0.7692307692307693,0.7017543859649122,26.0
bos_park,0.5357142857142857,0.5769230769230769,0.5555555555555555,26.0
boten,0.6493506493506493,0.8333333333333334,0.72992700729927,60.0
bouwplaats,0.5957446808510638,0.7466666666666667,0.6627218934911243,150.0
brand,0.8571428571428571,0.8135593220338984,0.8347826086956522,59.0
brug,0.5882352941176471,0.5,0.5405405405405405,20.0
bruiloft,0.9,0.5,0.6428571428571429,18.0
buiten_zwembad,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
bus_truck,0.6190476190476191,0.7222222222222222,0.6666666666666666,36.0
cafe,0.5128205128205128,0.5555555555555556,0.5333333333333333,36.0
catwalk,0.6,0.5,0.5454545454545454,6.0
circus,0.6923076923076923,0.782608695652174,0.7346938775510203,23.0
cricket,1.0,1.0,1.0,22.0
dansende_mensen,0.3888888888888889,0.5,0.43750000000000006,14.0
demonstratie,0.7894736842105263,0.75,0.7692307692307692,40.0
dieren_overig,0.40540540540540543,0.5555555555555556,0.46875,27.0
duinen,0.6363636363636364,0.3888888888888889,0.4827586206896552,18.0
eend,1.0,0.25,0.4,4.0
etalage,0.46153846153846156,0.35294117647058826,0.4000000000000001,17.0
etende_mensen,0.45454545454545453,0.6,0.5172413793103449,25.0
fabriek,0.5,0.4489795918367347,0.47311827956989244,49.0
fietsende_mensen,0.6129032258064516,0.7037037037037037,0.6551724137931035,27.0
garage_showroom,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0
gebouw,0.6928571428571428,0.697841726618705,0.6953405017921147,139.0
geestelijken,0.5238095238095238,0.55,0.5365853658536585,20.0
golf,0.0,0.0,0.0,3.0
groepsportret,0.6548672566371682,0.5967741935483871,0.6244725738396625,124.0
gymnastiek,0.53125,0.7083333333333334,0.6071428571428571,24.0
handbal,0.8333333333333334,0.5,0.625,10.0
hardlopen,0.36363636363636365,0.4444444444444444,0.39999999999999997,9.0
haven,0.6153846153846154,0.47058823529411764,0.5333333333333333,34.0
herdenking,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
historisch_toneelstuk,0.625,0.45454545454545453,0.5263157894736842,11.0
hockey,1.0,0.35714285714285715,0.5263157894736842,14.0
hond,0.8260869565217391,0.76,0.7916666666666667,25.0
honkbal,0.9056603773584906,0.9056603773584906,0.9056603773584906,53.0
huisje,0.6666666666666666,0.25,0.36363636363636365,16.0
kaartspel,0.0,0.0,0.0,1.0
kade,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
kamperen,1.0,0.375,0.5454545454545454,8.0
kantoor,0.532258064516129,0.717391304347826,0.6111111111111109,46.0
kapper,1.0,0.2222222222222222,0.3636363636363636,9.0
kerk_binnen,0.6896551724137931,0.7692307692307693,0.7272727272727274,26.0
