,precision,recall,f1-score,support
akker,0.6666666666666666,0.47058823529411764,0.5517241379310345,17.0
amfitheater,0.6,0.375,0.4615384615384615,8.0
aula,0.3333333333333333,0.058823529411764705,0.1,17.0
auto,0.3888888888888889,0.4117647058823529,0.39999999999999997,17.0
auto_ongeluk,0.5555555555555556,0.1724137931034483,0.26315789473684215,29.0
bakkerij,0.2,0.2857142857142857,0.23529411764705882,7.0
basketbal_korfbal,0.5,0.75,0.6,8.0
begraafplaats,1.0,0.25,0.4,4.0
begrafenis,0.0,0.0,0.0,0.0
bibliotheek_boekwinkel,0.8,0.4,0.5333333333333333,20.0
biljart,1.0,1.0,1.0,1.0
binnen_zwembad,0.9230769230769231,0.7058823529411765,0.8000000000000002,17.0
bloemen,0.5714285714285714,0.2857142857142857,0.38095238095238093,14.0
bloementuin,0.2222222222222222,0.5,0.30769230769230765,4.0
boksen,1.0,0.75,0.8571428571428571,4.0
borden_gevelsteen,0.7222222222222222,0.5,0.5909090909090908,26.0
bos_park,0.36363636363636365,0.3076923076923077,0.33333333333333337,26.0
boten,0.6785714285714286,0.6333333333333333,0.6551724137931035,60.0
bouwplaats,0.5076142131979695,0.6666666666666666,0.5763688760806915,150.0
brand,0.9210526315789473,0.5932203389830508,0.7216494845360825,59.0
brug,0.45454545454545453,0.25,0.3225806451612903,20.0
bruiloft,0.75,0.16666666666666666,0.27272727272727276,18.0
buiten_zwembad,1.0,0.36363636363636365,0.5333333333333333,11.0
bus_truck,0.8,0.5555555555555556,0.6557377049180328,36.0
cafe,0.6923076923076923,0.25,0.3673469387755102,36.0
catwalk,0.25,0.16666666666666666,0.2,6.0
circus,0.7037037037037037,0.8260869565217391,0.76,23.0
cricket,1.0,0.9545454545454546,0.9767441860465117,22.0
dansende_mensen,0.22727272727272727,0.35714285714285715,0.2777777777777778,14.0
demonstratie,0.8260869565217391,0.475,0.6031746031746033,40.0
dieren_overig,0.8333333333333334,0.18518518518518517,0.303030303030303,27.0
duinen,0.6666666666666666,0.1111111111111111,0.1904761904761905,18.0
eend,0.0,0.0,0.0,4.0
etalage,0.34615384615384615,0.5294117647058824,0.41860465116279066,17.0
etende_mensen,0.35,0.56,0.4307692307692308,25.0
fabriek,0.4444444444444444,0.24489795918367346,0.3157894736842105,49.0
fietsende_mensen,0.45714285714285713,0.5925925925925926,0.5161290322580645,27.0
garage_showroom,1.0,0.14285714285714285,0.25,7.0
gebouw,0.5613207547169812,0.8561151079136691,0.6780626780626781,139.0
geestelijken,0.2,0.15,0.17142857142857143,20.0
golf,0.0,0.0,0.0,3.0
groepsportret,0.29333333333333333,0.7096774193548387,0.4150943396226416,124.0
gymnastiek,0.5,0.25,0.3333333333333333,24.0
handbal,0.7142857142857143,0.5,0.588235294117647,10.0
hardlopen,0.26666666666666666,0.4444444444444444,0.33333333333333337,9.0
haven,0.4444444444444444,0.5882352941176471,0.5063291139240507,34.0
herdenking,0.3333333333333333,0.46153846153846156,0.3870967741935484,13.0
historisch_toneelstuk,0.18181818181818182,0.18181818181818182,0.18181818181818182,11.0
hockey,0.0,0.0,0.0,14.0
