,precision,recall,f1-score,support
akker,0.6923076923076923,0.75,0.7199999999999999,12.0
amfitheater,0.75,0.5,0.6,6.0
aula,0.5333333333333333,0.47058823529411764,0.5,17.0
auto,0.55,0.44,0.48888888888888893,25.0
auto_ongeluk,0.6923076923076923,0.42857142857142855,0.5294117647058824,21.0
bakkerij,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
basketbal_korfbal,0.8333333333333334,0.5,0.625,10.0
begraafplaats,0.3333333333333333,0.5,0.4,2.0
begrafenis,0.5,0.5,0.5,2.0
bibliotheek_boekwinkel,0.6428571428571429,0.6,0.6206896551724138,15.0
binnen_zwembad,0.7142857142857143,0.7692307692307693,0.7407407407407408,13.0
bloemen,1.0,0.4444444444444444,0.6153846153846153,9.0
bloementuin,0.6,1.0,0.7499999999999999,3.0
boksen,0.0,0.0,0.0,2.0
borden_gevelsteen,0.36585365853658536,0.4838709677419355,0.4166666666666667,31.0
bos_park,0.3333333333333333,0.45454545454545453,0.3846153846153846,22.0
boten,0.6825396825396826,0.7049180327868853,0.6935483870967742,61.0
bouwplaats,0.48945147679324896,0.7785234899328859,0.6010362694300518,149.0
brand,0.6545454545454545,0.6666666666666666,0.6605504587155963,54.0
brug,0.16666666666666666,0.15384615384615385,0.16,13.0
bruiloft,0.7142857142857143,0.23809523809523808,0.35714285714285715,21.0
buiten_zwembad,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
bus_truck,0.6071428571428571,0.5151515151515151,0.5573770491803278,33.0
cafe,0.34285714285714286,0.4444444444444444,0.3870967741935484,27.0
catwalk,1.0,0.75,0.8571428571428571,4.0
circus,0.6666666666666666,0.75,0.7058823529411765,16.0
cricket,1.0,0.9090909090909091,0.9523809523809523,22.0
dansende_mensen,0.3157894736842105,0.35294117647058826,0.33333333333333337,17.0
demonstratie,0.575,0.6388888888888888,0.6052631578947367,36.0
dieren_overig,0.2857142857142857,0.3225806451612903,0.303030303030303,31.0
duinen,0.7,0.4117647058823529,0.5185185185185185,17.0
eend,0.0,0.0,0.0,2.0
etalage,0.4666666666666667,0.4117647058823529,0.43749999999999994,17.0
etende_mensen,0.6774193548387096,0.5833333333333334,0.626865671641791,36.0
fabriek,0.35555555555555557,0.3333333333333333,0.34408602150537637,48.0
fietsende_mensen,0.7142857142857143,0.4,0.5128205128205129,25.0
garage_showroom,0.6666666666666666,0.5,0.5714285714285715,8.0
gebouw,0.6707317073170732,0.6832298136645962,0.676923076923077,161.0
geestelijken,0.2,0.09090909090909091,0.12500000000000003,11.0
groepsportret,0.4777777777777778,0.6099290780141844,0.5358255451713396,141.0
gymnastiek,0.41935483870967744,0.5909090909090909,0.4905660377358491,22.0
handbal,0.6666666666666666,0.8888888888888888,0.761904761904762,9.0
hardlopen,0.13333333333333333,0.25,0.1739130434782609,8.0
haven,0.4117647058823529,0.2413793103448276,0.3043478260869565,29.0
herdenking,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
historisch_toneelstuk,0.375,0.3,0.33333333333333326,10.0
hockey,1.0,0.26666666666666666,0.4210526315789474,15.0
hond,0.7,0.3888888888888889,0.5,18.0
honkbal,0.8363636363636363,0.7540983606557377,0.793103448275862,61.0
huisje,0.14285714285714285,0.18181818181818182,0.16,11.0
kaartspel,0.0,0.0,0.0,0.0
kaartspel ,0.0,0.0,0.0,3.0
kade,0.23529411764705882,0.36363636363636365,0.2857142857142857,11.0
kamperen,0.16666666666666666,0.25,0.2,4.0
kantoor,0.5357142857142857,0.625,0.576923076923077,48.0
kapper,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
kerk_binnen,0.55,0.5,0.5238095238095238,22.0
kerk_buiten,0.7222222222222222,0.6190476190476191,0.6666666666666666,21.0
kermis,0.0,0.0,0.0,2.0
kerstmis,0.0,0.0,0.0,4.0
keuken,0.15384615384615385,0.3333333333333333,0.21052631578947367,12.0
klaslokaal,0.42,0.6363636363636364,0.5060240963855421,33.0
koe,1.0,0.125,0.2222222222222222,8.0
konijn,1.0,0.5,0.6666666666666666,6.0
kunstwerk,0.660377358490566,0.6140350877192983,0.6363636363636364,57.0
luchtfoto,0.9333333333333333,0.8235294117647058,0.8749999999999999,17.0
maquette,1.0,0.25,0.4,8.0
markt,0.4444444444444444,0.6060606060606061,0.5128205128205128,33.0
mensen_op_een_boot,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
mensen_op_trap,0.0,0.0,0.0,3.0
mensenmassa,0.4142857142857143,0.4393939393939394,0.42647058823529416,66.0
militair,0.5,0.125,0.2,8.0
motorfiets,0.0,0.0,0.0,6.0
muziek_optreden,0.5089285714285714,0.5181818181818182,0.5135135135135134,110.0
no_description_found,0.3157894736842105,0.16981132075471697,0.22085889570552147,106.0
ongeluk_brancard,0.0,0.0,0.0,7.0
ontvangst_afscheid,0.2857142857142857,0.13333333333333333,0.18181818181818182,15.0
opgraving,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
optocht,0.6842105263157895,0.40625,0.5098039215686275,32.0
paard,0.3684210526315789,0.8076923076923077,0.5060240963855421,26.0
plattegrond,0.0,0.0,0.0,5.0
portret,0.7613293051359517,0.7138810198300283,0.7368421052631577,353.0
race,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
roeien,0.5555555555555556,0.625,0.5882352941176471,8.0
rugby,0.0,0.0,0.0,0.0
schaatsen,0.6,0.5,0.5454545454545454,12.0
schaken_dammen,0.6578947368421053,0.78125,0.7142857142857143,32.0
scheepswerf,0.625,0.3333333333333333,0.43478260869565216,15.0
sinterklaas,0.6666666666666666,0.5625,0.6101694915254238,32.0
slagerij,0.8333333333333334,0.5,0.625,10.0
sneeuwlandschap,0.5555555555555556,0.5882352941176471,0.5714285714285715,17.0
speech,0.35135135135135137,0.29545454545454547,0.3209876543209877,44.0
speeltuin,0.38461538461538464,0.4166666666666667,0.4,12.0
standbeeld,0.3684210526315789,0.3333333333333333,0.35,21.0
straat,0.4375,0.47191011235955055,0.454054054054054,89.0
strand,0.44680851063829785,0.65625,0.5316455696202532,32.0
tafel_tennis,1.0,0.6666666666666666,0.8,3.0
tennis,1.0,1.0,1.0,1.0
tentoonstelling,0.56,0.4117647058823529,0.4745762711864407,34.0
terras,0.375,0.42857142857142855,0.39999999999999997,7.0
theater,0.44680851063829785,0.5833333333333334,0.5060240963855422,36.0
toren,0.5714285714285714,0.5,0.5333333333333333,16.0
tram,0.25,0.2,0.22222222222222224,5.0
trein,0.8,0.5,0.6153846153846154,8.0
trein_ongeluk,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
trein_station,0.5,0.25,0.3333333333333333,8.0
uitreiking_huldiging,0.6153846153846154,0.6706586826347305,0.6418338108882521,167.0
vergaderruimte,0.5,0.603448275862069,0.546875,58.0
vijver_plas,0.6666666666666666,0.18181818181818182,0.28571428571428575,11.0
visserij,0.2857142857142857,0.16666666666666666,0.2105263157894737,12.0
vlag_hijsen,0.0,0.0,0.0,9.0
voetbal,0.7416267942583732,0.96875,0.8401084010840109,160.0
voetbal_team,0.9230769230769231,0.8571428571428571,0.888888888888889,28.0
volleybal,0.7,0.6363636363636364,0.6666666666666666,11.0
water_ski,0.0,0.0,0.0,1.0
waterpolo,1.0,0.5,0.6666666666666666,2.0
waterweg,0.36666666666666664,0.4583333333333333,0.4074074074074074,24.0
wielrennen,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
windmolen,1.0,0.75,0.8571428571428571,8.0
windsurfen,0.5,0.16666666666666666,0.25,6.0
winkel_binnen,0.475,0.3958333333333333,0.43181818181818177,48.0
winkelstraat,0.6666666666666666,0.4,0.5,20.0
woonkamer,0.6,0.4166666666666667,0.49180327868852464,36.0
woonwijk,0.5862068965517241,0.3541666666666667,0.4415584415584416,48.0
zaalvoetbal,0.8,0.75,0.7741935483870969,16.0
zeepkistenrace,0.0,0.0,0.0,2.0
ziekenhuis,0.4,0.5,0.4444444444444445,16.0
zwaan,0.0,0.0,0.0,2.0
micro avg,0.561605388717373,0.561605388717373,0.561605388717373,3563.0
macro avg,0.5083073075078843,0.4357485896540148,0.4497877883214832,3563.0
weighted avg,0.5704335638042898,0.561605388717373,0.5526746829347425,3563.0
