"id","gebruiker_id","scan_id","tijdstip","toelichting","antwoord","status","created_at","updated_at"
"2","23116","4531","2021-11-25 16:11:15","Tandarts met patient in de stoel. Beide Invoerders géén categorie gevonden. Zelf weet ik er ook geen. Portret ?","Beste Richmonde de Goeje,
Goed punt, ik zou het ook niet weten, dus geen categorie is dan juist. We kunnen deze dan weer meenemen bij de bijschaving van onze labels. 
Groet,
Nico Vriend (NHA)","104","2021-11-25 16:11:15","2021-12-03 16:00:04"
"4","12564","11747","2022-04-06 10:30:21","zwart negatief",,"104","2022-04-06 10:30:21","2022-04-25 10:07:14"
"19","13212","30001","2022-05-19 19:03:48","Helaas is er voor muziek-, radio- en tv opname studio's geen categorie. Indelen bij kantoor ??","Beste Gerhard,

Hartelijk bedankt voor de opmerkingen.
Deze en de andere categorieën die je in de opmerkingen hebt gestuurd, kunnen goed gebruikt worden voor de vervolg analyse.
Het is goed als ze ingedeeld worden als ""no description found"".

Met vriendelijke groet,
Lars","104","2022-05-19 19:03:48","2022-05-23 10:12:44"
