id,serie_id,import_time,contactsheet_uuid,title,handed_out,finished,too_difficult,unusable,handed_out_for_checking,checked,aangemaakt_op,bewerkt_op
998,1,2021-09-17 17:28:26,9b159b91-92e3-3903-f6cb-180da4a45a83,NL-HlmNHA_1478_03169K00_14,2,2,0,0,1,1,2021-09-17 17:28:26,2021-11-23 17:33:44
999,1,2021-09-17 17:28:27,c23b3a93-c5d5-23b9-1050-8613252fdbe8,NL-HlmNHA_1478_03210K00_33,2,2,0,0,1,1,2021-09-17 17:28:27,2021-11-23 17:33:35
1000,1,2021-09-17 17:28:27,bb808f3c-769b-292f-45c3-c514d9f8efc0,NL-HlmNHA_1478_03284K00_17,2,2,0,0,1,1,2021-09-17 17:28:27,2021-11-23 17:35:22
1001,1,2021-09-17 17:28:27,06d34668-2bc7-a643-47af-7b5b6d935de9,NL-HlmNHA_1478_03284K00_26,2,2,0,0,1,1,2021-09-17 17:28:27,2021-11-23 17:34:02
1002,1,2021-09-17 17:28:27,60928b72-2ff5-e11d-8079-b0845a0a898b,NL-HlmNHA_1478_03454K00_11,2,2,0,0,1,1,2021-09-17 17:28:27,2021-11-23 17:36:45
1003,1,2021-09-17 17:28:28,03ee65de-16ca-fe67-dc86-fdf2fba77d0e,NL-HlmNHA_1478_03502K02_21,2,2,0,0,1,1,2021-09-17 17:28:28,2021-11-23 17:37:41
1004,1,2021-09-17 17:28:28,bca2d17d-eb52-77fc-b4e8-084c1dd0c094,NL-HlmNHA_1478_03504K00_04,2,2,0,0,1,1,2021-09-17 17:28:28,2021-11-23 17:34:39
1005,1,2021-09-17 17:28:28,bab95504-f46c-b7ab-f949-bfee8ad0e68b,NL-HlmNHA_1478_03594K00_04,2,2,0,0,1,1,2021-09-17 17:28:28,2021-11-23 17:38:38
1006,1,2021-09-17 17:28:28,8f4cd755-a0e0-23d6-3ff3-8e3225bbcb79,NL-HlmNHA_1478_03734K00_23,2,2,0,0,1,1,2021-09-17 17:28:28,2021-11-23 17:39:10
1007,1,2021-09-17 17:28:29,00f585a6-9b36-87c2-a225-fcf76f907315,NL-HlmNHA_1478_03837K00_13,2,2,0,0,1,1,2021-09-17 17:28:29,2021-11-23 17:37:46
1008,1,2021-09-17 17:28:29,3b8368f2-795f-d875-a86a-d31a374eb5a6,NL-HlmNHA_1478_03888K00_04,2,2,0,0,1,1,2021-09-17 17:28:29,2021-11-23 17:39:14
1009,1,2021-09-17 17:28:29,3a31ea89-eee4-165e-8f00-f18664f22936,NL-HlmNHA_1478_03930K01_24,2,2,0,0,1,1,2021-09-17 17:28:29,2021-11-23 17:39:39
1010,1,2021-09-17 17:28:29,364be96e-bb1f-e2b8-031d-cbe360f5145f,NL-HlmNHA_1478_03952K00_11,2,2,0,0,1,1,2021-09-17 17:28:29,2021-11-23 17:40:02
1011,1,2021-09-17 17:28:30,7fe036dd-fb1a-8c03-3663-a3cbd4ba10d5,NL-HlmNHA_1478_05021K00_07,2,2,0,0,1,1,2021-09-17 17:28:30,2021-11-23 17:39:32
1012,1,2021-09-17 17:28:30,92e6b123-a56f-0250-3bb0-4f17cb0e329b,NL-HlmNHA_1478_05046K00_15,2,2,0,0,1,1,2021-09-17 17:28:30,2021-11-23 17:39:57
1013,1,2021-09-17 17:28:30,a7b707d1-afe7-865b-1f42-227675779247,NL-HlmNHA_1478_05060K00_15,2,2,0,0,1,1,2021-09-17 17:28:30,2021-11-23 17:40:10
1014,1,2021-09-17 17:28:30,9d7084e2-d9a8-2d4e-aec8-9b14f1ecf171,NL-HlmNHA_1478_05112K00_24,2,2,0,0,1,1,2021-09-17 17:28:30,2021-11-23 17:54:01
1015,1,2021-09-17 17:28:31,a9f653fd-9a4a-0c84-ed58-d828254a0400,NL-HlmNHA_1478_05123K00_28,2,2,0,0,1,1,2021-09-17 17:28:31,2021-11-23 17:40:36
1016,1,2021-09-17 17:28:31,c04d4d6b-0ecd-c268-2662-3b6879e2ac66,NL-HlmNHA_1478_05124K00_15,2,2,0,0,1,1,2021-09-17 17:28:31,2021-11-23 17:42:09
1017,1,2021-09-17 17:28:32,feee6036-382e-d4e5-e4e9-9a21b5270e93,NL-HlmNHA_1478_05124K00_30,2,2,0,0,1,1,2021-09-17 17:28:32,2021-11-23 17:54:14
1018,1,2021-09-17 17:28:32,1c1bf58c-ba47-5c06-9f77-f70e3e707619,NL-HlmNHA_1478_05134K01_09,2,2,0,0,1,1,2021-09-17 17:28:32,2021-11-23 17:54:41
